Years,Births,Carrying Capacity,Deaths,Effect of Population Size on Births,Initial Carrying Capacity,Initial Max Crude Birth Rate,Initial Mortality Rate,Initial Population,Max Crude Birth Rate,Mortality Rate,Population,Population Fraction,IP1 Crude Birth Rate.ES,IP1 Crude Birth Rate.Intervention Point,IP1 Crude Birth Rate.SW,IP1 Crude Birth Rate.T1,IP2 Mortality Rate.ES,IP2 Mortality Rate.Intervention Point,IP2 Mortality Rate.SW,IP2 Mortality Rate.T1,IP3 Carrying Capacity.ES,IP3 Carrying Capacity.Intervention Point,IP3 Carrying Capacity.SW,IP3 Carrying Capacity.T1,IP4 Effect of Population Size on Births.ES,IP4 Effect of Population Size on Births.Intervention Point,IP4 Effect of Population Size on Births.SW,IP4 Effect of Population Size on Births.T1
94.7392578125,4.50546353839,120,4.49726573874,0.250455676853,80,0.2,0.05,120,0.2,0.05,89.9453187776,0.749544323147,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.740234375,4.50546273934,120,4.497266139,0.250455610149,80,0.2,0.05,120,0.2,0.05,89.9453267821,0.749544389851,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7412109375,4.50546194041,120,4.49726653919,0.250455543455,80,0.2,0.05,120,0.2,0.05,89.9453347854,0.749544456545,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7421875,4.5054611416,120,4.49726693933,0.25045547677,80,0.2,0.05,120,0.2,0.05,89.9453427876,0.74954452323,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7431640625,4.5054603429,120,4.49726733941,0.250455410096,80,0.2,0.05,120,0.2,0.05,89.9453507885,0.749544589904,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.744140625,4.50545954431,120,4.49726773943,0.25045534343,80,0.2,0.05,120,0.2,0.05,89.9453587883,0.74954465657,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7451171875,4.50545874585,120,4.49726813939,0.250455276775,80,0.2,0.05,120,0.2,0.05,89.945366787,0.749544723225,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.74609375,4.5054579475,120,4.49726853929,0.25045521013,80,0.2,0.05,120,0.2,0.05,89.9453747844,0.74954478987,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.7470703125,4.50545714927,120,4.49726893913,0.250455143494,80,0.2,0.05,120,0.2,0.05,89.9453827807,0.749544856506,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
94.748046875,4.50545635115,120,4.49726933892,0.250455076868,80,0.2,0.05,120,0.2,0.05,89.9453907759,0.749544923132,0.5,1,0,50,0.5,1,0,50,0.5,1.5,1,50,0.5,1,0,50
